Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.31002831059841E-17,0.0220877951621835,0.00992802999141622,0,0,0,0.735480271461957,0.00351581895351442,1.04282598960359E-18,1.87324096685754E-21,0.00185879055900046,5.12477830237135E-06,0.00532567864899257,0,0,0,0,0,0,package://urdf9/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf9/meshes/base_link.STL,,cad-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF,0,5.20417042793042E-18,0.00717282965435008,0,0,0,0.0489436503728706,1.76621848414269E-05,-7.22268423045875E-22,-3.14625059126875E-22,1.76621848414269E-05,1.62698040148313E-22,3.36011356425037E-05,0,0,0,0,0,0,package://urdf9/meshes/RF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf9/meshes/RF.STL,,wheel-1,Origin_RFJ,Axis_RFJ,RFJ,continuous,0.075,0.05,0.01,-1.5707963267949,0,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
RB,0,5.20417042793042E-18,0.00717282965435007,0,0,0,0.0489436503728706,1.7662184841427E-05,-7.15427741925006E-22,8.03306952937725E-23,1.7662184841427E-05,1.70703863308735E-22,3.36011356425037E-05,0,0,0,0,0,0,package://urdf9/meshes/RB.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf9/meshes/RB.STL,,wheel-2,Origin_RBJ,Axis_RBJ,RBJ,continuous,0.0749999999999999,-0.06,0.01,-1.5707963267949,0,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
LF,-6.93889390390723E-18,-6.93889390390723E-18,-0.00717282965435005,0,0,0,0.0489436503728706,1.76621848414269E-05,0,4.40195559547451E-22,1.76621848414269E-05,3.16382859435861E-22,3.36011356425037E-05,0,0,0,0,0,0,package://urdf9/meshes/LF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf9/meshes/LF.STL,,wheel-3,Origin_LFJ,Axis_LFJ,LFJ,continuous,-0.075,0.05,0.01,1.5707963267949,0.917718602617513,1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
LB,0,-6.93889390390723E-18,-0.00717282965435007,0,0,0,0.0489436503728706,1.7662184841427E-05,2.5410988417629E-21,6.93463757849115E-22,1.7662184841427E-05,-2.47999838408486E-23,3.36011356425037E-05,0,0,0,0,0,0,package://urdf9/meshes/LB.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf9/meshes/LB.STL,,wheel-4,Origin_LBJ,Axis_LBJ,LBJ,continuous,-0.075,-0.06,0.01,1.5707963267949,-0.584056750958047,1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
