Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.3066E-06,0.0099126,-0.022153,0,0,0,0.73416,0.003514,2.7133E-08,1.1077E-07,0.0053231,-4.714E-06,0.0018578,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,cad-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF,0,5.2042E-18,0.0071728,0,0,0,0.048944,1.7662E-05,-7.1119E-22,-3.1126E-22,1.7662E-05,1.6055E-22,3.3601E-05,0,0,0,0,0,0,package://Assem1/meshes/RF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/RF.STL,,wheel-1,Origin_RFJ,Axis_RFJ,RFJ,continuous,0.075,0.05,0.01,-1.5708,0,-1.5708,base_link,0,0,1,,,,,,,,,,,,
RB,-6.9389E-18,3.4694E-18,0.0071728,0,0,0,0.048944,1.7662E-05,-8.7888E-22,-4.6048E-22,1.7662E-05,9.8194E-23,3.3601E-05,0,0,0,0,0,0,package://Assem1/meshes/RB.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/RB.STL,,wheel-2,Origin_RBJ,Axis_RBJ,RBJ,continuous,0.075,-0.06,0.01,-1.5708,0,-1.5708,base_link,0,0,1,,,,,,,,,,,,
LF,-3.4694E-18,-6.9389E-18,-0.0071728,0,0,0,0.048944,1.7662E-05,0,4.4071E-22,1.7662E-05,3.1556E-22,3.3601E-05,0,0,0,0,0,0,package://Assem1/meshes/LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/LF.STL,,wheel-3,Origin_LFJ,Axis_LFJ,LFJ,continuous,-0.075,0.05,0.01,1.5707963267949,0.917718602617513,1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
LB,0,-6.9389E-18,-0.0071728,0,0,0,0.048944,1.7662E-05,2.5411E-21,6.9193E-22,1.7662E-05,-2.3943E-23,3.3601E-05,0,0,0,0,0,0,package://Assem1/meshes/LB.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/LB.STL,,wheel-4,Origin_LBJ,Axis_LBJ,LBJ,continuous,-0.075,-0.06,0.01,1.5708,-0.58406,1.5708,base_link,0,0,1,,,,,,,,,,,,
