Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.2093E-17,0.022088,0.009928,0,0,0,0.73548,0.0035158,1.0685E-18,1.8809E-21,0.0018588,5.1248E-06,0.0053257,0,0,0,0,0,0,package://urdf11/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf11/meshes/base_link.STL,,cad-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF,0,5.2042E-18,-0.0078272,0,0,0,0.048944,1.7662E-05,-8.2275E-22,-3.544E-22,1.7662E-05,1.7026E-22,3.3601E-05,0,0,0,0,0,0,package://urdf11/meshes/RF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf11/meshes/RF.STL,,wheel-1,Origin_RFJ,,RFJ,continuous,0.09,0.05,0.01,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
RB,0,3.4694E-18,-0.0078272,0,0,0,0.048944,1.7662E-05,-6.7995E-22,3.1732E-23,1.7662E-05,1.522E-22,3.3601E-05,0,0,0,0,0,0,package://urdf11/meshes/RB.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf11/meshes/RB.STL,,wheel-2,Origin_RBJ,,RBJ,continuous,0.09,-0.06,0.01,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
LF,-3.4694E-18,-6.9389E-18,0.0078272,0,0,0,0.048944,1.7662E-05,0,4.3962E-22,1.7662E-05,3.1538E-22,3.3601E-05,0,0,0,0,0,0,package://urdf11/meshes/LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf11/meshes/LF.STL,,wheel-3,Origin_LFJ,,LFJ,continuous,-0.09,0.05,0.01,1.5708,0.91772,1.5708,base_link,0,0,0,,,,,,,,,,,,
LB,0,-6.9389E-18,0.0078272,0,0,0,0.048944,1.7662E-05,2.5411E-21,6.8982E-22,1.7662E-05,-2.2435E-23,3.3601E-05,0,0,0,0,0,0,package://urdf11/meshes/LB.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf11/meshes/LB.STL,,wheel-4,Origin_LBJ,,LBJ,continuous,-0.09,-0.06,0.01,1.5708,-0.58406,1.5708,base_link,0,0,0,,,,,,,,,,,,
